"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"FB-BT",1.095502,0.5212766,0.6702128,1,42.99822,2.265552,4.141473e-05,0.003888025,0,0.2129342,17,1.460731,0.6766917,2.171913,10.68419,8.640055e-05,0.0002160014,2.235376,5,2,12.97452,3.022323,1,0.5263158,2.144289,0.5818609,5.194235,0.4181391,0,1.555772,0.03759398,0.5909712,3.006377,960.8217,89.92932
"FB-CV",1.050347,0.7468354,0.5949367,1,31.98741,1.993327,0,0.1349169,0.0004750594,0.4365796,20,0.9083571,0.697561,1.260851,10.41986,0,0,1.196554,0,0,2.828627,0.6393229,0.9990503,0.7365854,1.204861,0.336455,2.454427,0.663545,0,1.830959,0.03414634,0.2453322,2.20354,55.79561,5.354738
"FB-DV",1.912844,0.675,0.7,1,4.977064,1.048309,0.004587156,0,0,0.7571429,4,1.947619,0.4222222,0.9954128,2.456731,0.01904762,0.06190476,1,13,4,21.7,2.183486,1,0.3777778,0.9449541,0.6868687,3.178899,0.3131313,0,0.3761905,0,0,0,2.456731,1
"FBBI",0.9938367,0.9285714,0.7380952,1,16.54391,2.159555,0,0.8555556,0,0.9388889,10,0.1441774,0.6901408,1.003082,5.075,0,0,1.003899,0,0,4.786765,1.067797,1.465804,0.8450704,1,0.515625,2.861325,0.484375,0,0.07578558,0.2676056,0.00617284,2,5.14425,1.013645
"FG",0.9,0.3728814,0.3728814,1,11.2,9,0,0,0,1,2,1,0.871345,0.9,1,0,0.1111111,1,1,0,9,22.4,1,0.871345,0,0.9613734,23.3,0.03862661,0,0,0,0,0,1,1
"FOODON",1.217602,0.7910448,0.6567164,1,185.3789,1.280288,0.011559,0.2416808,0.000535815,0.7390863,32,0.84185,0.7348485,1.206361,10.32215,0,0.0001128032,1.18026,4,0,4.158941,0.454973,1.019571,1.125,1.199399,0.27386,1.661334,0.72614,0,0.6445572,0.2424242,0.1659758,2.201729,32.50604,3.149156
"FTC",1.38666,1,1,1,6.268339,1.723417,0,0.6133008,0,1,20,0.3866992,0.8333333,1.723277,9.849571,0,8.140008e-05,1.776957,5,0,5.215767,1.421011,1,0.8333333,1.398284,0.4519341,3.144287,0.5480659,0,0,0,0.2920635,2.364047,116.8153,11.85994
"GALLONT",1.29798,0.953125,0.9296875,1,53.95202,1.625641,0.03282828,0.122449,0,0.4744898,26,1.173028,0.5209125,1.098485,8.354244,0,0,1.135678,0,0,2.208122,2.391414,1.066158,0.7262357,1.083333,0.6852388,3.992424,0.3147612,0,1.732824,0.1901141,0.1012658,2.025,11.37688,1.361809
"GENO",1.291765,0.5394737,0.4342105,1,122.0612,1.167553,0.04941176,0.25,0,0.6569149,15,0.9734043,0.725,1.032941,7.377892,0.002659574,0.005319149,1.028674,2,1,3.006849,1.449412,1.034574,0.83,0.9152941,0.5838863,2.482353,0.4161137,0,0.4867021,0.08,0.03301887,2,10.28674,1.394265
"GFVO",1.970874,1,1,1,32.67961,1.02,0,0,0.00990099,1,8,1,0.75,0.9902913,4.076923,0.00990099,0.00990099,1,1,1,2.684211,0.9320388,0.990099,0.75,0.961165,0.4848485,1.92233,0.5151515,0,0,0,0,0,4.076923,1
"GLYCORDF",1.717557,1,1,1,23.82443,1.368421,1.885496,0.2153846,0.04615385,1,5,0.7846154,0.7605634,0.9923664,2.096154,0.007692308,0.007692308,1,1,1,4.814815,6.725191,0.9615385,0.04225352,0.7862595,0.8714144,7.717557,0.1285856,0,0,0,0,0,2.096154,1
